,empty_slots,free_bikes,id,latitude,longitude,name
0,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13"
1,15,8,5c10c2dba1c5a8e8d9dcbb251fd8eab7,41.4299999,2.190246,"RAMBLA DE L'ONZE DE SETEMBRE, 69"
2,8,16,f1aaf083aaa04498aad975bc45bdc089,41.4433647,2.1906302,"PG. TORRAS I BAGES, 129"
3,2,16,4a30020e6926a2ba39f88be0f6bba5cb,41.3775319,2.1707321,"C/ SANT OLEGUER, 2"
4,21,3,e964297fbcd2fc96bb6632e5a530d0df,41.3751161,2.1523091,"AV. PARAL.LEL, 194"
5,12,19,77e6513f3a43c3054c71144be4132e59,41.4090202,2.1954152,"C/ BILBAO, 174"
6,11,13,23b6f7550b25fbd13f67b32e2bbde1e1,41.4180789,2.1763994,"C/ D'ESCORNALBOU, 51"
7,9,11,a38652efcd560833b66a90c618ec85c7,41.3939378,2.1380304,"C/ GANDUXER, 29"
8,17,11,ab5aed96eeda51ba68ab88cfeb6d6201,41.4092333,2.1557747,"C/ MASSENS, 76"
9,25,4,614ca4a84009c33664c8489c909264f4,41.3754188,2.1297823,"C/ FELIU DE CASANOVA, 1"
10,17,4,de0e8ba6e1c44e2b7c452a639777e19a,41.410098,2.1884487,"C/ ARAGÓ, 629"
11,25,9,f28ea408c98c269ec16dd1a110ba77cc,41.4183999,2.2058133,"GRAN VIA DE LES CORTS CATALANES,  1131"
12,14,5,4adedd174616ff28ded24a9ad859660f,41.3545425,2.1433038,"PG. ZONA FRANCA, 54"
13,17,10,026153e8343ea0aa59a299ddc55f1883,41.426925,2.1786224,"C/ FELIP II, 214"
14,18,1,790df2a3ab9214fa167cefd9b4933ec2,41.4216738,2.1799878,"C/ CAMPO FLORIDO, 66"
15,21,2,6862769769ff575bde387fa0dfe64d91,41.4283127,2.1629889,"C/ GRANOLLERS, 1"
16,13,14,670661fba74c24adc1778757b3388588,41.3934324,2.115107,"C/ CAVALLERS, 67"
17,21,3,094eb7b65cdf38f3f7abd6fe76833690,41.3875297,2.1237141,"AV. DIAGONAL, 680"
18,37,13,c1e818c978c673efb4fb8da5e7e51791,41.4280668,2.1443777,"PG. VALL D'HEBRÓN, 168"
19,24,2,16a291fb985a60b7b1a195e5a20fd7f8,41.3854466,2.1288753,"C/ DE LES CORTS, 20"
20,4,17,97a2d55faca5f8980ed77f15bed3427a,41.4354601,2.2001569,"C/ SANT ADRIÀ, 88"
21,7,19,d1d49e0df5efb64832fb29b9925ad5fe,41.3953011,2.1965965,"C/ RAMON TURRÓ, 91"
22,17,3,5e949bd62eec0a3872120b7300358308,41.4450463,2.176726,PL. JESÚS CARRASCO
23,10,15,fd08dcaaa7b28d2c894bb8cc0c75475b,41.3871579,2.1410945,"C/ GELABERT, 1"
24,23,9,d838e012f31b57bf9dc347842df5d1d6,41.4299201,2.1849813,"RAMBLA FABRA I PUIG, 67"
25,21,15,91ddcd365904e8718a7bd99779794ae4,41.4479402,2.1976757,"PG. SANTA COLOMA, 105"
26,23,0,4f0c56ea18d30a06609a7947f8645968,41.4090922,2.1656378,"C/ SARDENYA, 465"
27,31,1,0f4ff722a51882a7792b8e3802178dc0,41.3957813,2.1787074,"C/ NÀPOLS, 125"
28,9,1,11d965aa22c062de75920e2666e720a4,41.4300161,2.1720191,"C/ AMILCAR, 1"
29,20,3,bd53dacde784bdd4a6fbea912d0fff75,41.3755503,2.1439036,"C/CONSELL DE CENT, 6"
30,23,2,14facb5b151f405ddaa251d5e5a19680,41.3952027,2.1334873,"C/ JOSÉ DE  AGULLÓ, 9"
31,25,5,e2f96d6f9ed195e6bc2ece7b2ca1c117,41.3791986,2.1135824,C/ PINTOR RIBALTA / AV. XILE
32,16,13,43cdddea3c798a5ce5c81ad93210d498,41.4347233,2.1817718,"C/ ANDREU NIN, 22"
33,25,4,a08c92d249cec30792553ab20536cf99,41.43068,2.1821802,"AV. RIO DE JANEIRO, 3"
34,25,1,b9bf856e3de3ecb08c2d6004101edf10,41.4244527,2.1773157,"C/ RAMON ALBÓ, 1"
35,17,10,f131c8be74d689e7349af47724d88348,41.380393,2.1606506,"C/ COMTE URGELL, 23"
36,19,11,c41a52a203d08c919f6d198e30f629af,41.419178,2.18018,"C/ TEODOR LLORENTE, 1"
37,15,14,a2ad3c3ea5fb48794a4f05547bf45a87,41.3776292,2.1836886,PL. ICTÍNEO
38,17,4,3dc0ced3eb7d74f753eff203d02d79cd,41.4117633,2.1453424,"C/ ARGENTERA, 23"
39,20,1,206772325f1d9ef3f1d490a20debc2b0,41.4068417,2.1558354,"PL. DEL NORD, 5"
40,5,25,2859e381ef181038d89fdc04ef067165,41.3763948,2.1473272,"C/ TARRAGONA, 103-115"
41,9,17,ad095f2d769ae6eb8ce76db4bde21a0c,41.4298614,2.1922011,"C/ ONZE DE SETEMBRE, 37-39"
42,17,3,0d8fa3d220b325a928f1d218b3155113,41.3910756,2.1965766,"C/ ROSA SENSAT, 20"
43,19,7,b745f8d58596de1ac5969e7b77a5c84c,41.3759419,2.1299539,"RAMBLA DEL BRASIL, 5"
44,15,1,6627cf97075521a6295e0364ae4d4e7f,41.4366708,2.186105,"C/ MALATS, 98-100"
45,21,4,408725c15ad93ef162f0e92a0cfec7d1,41.4038902,2.2041137,"C/ LOPE DE VEGA, 79"
46,22,3,9a7b57a18c273d1722a143bdefa072ce,41.4031529,2.1445843,"C/ SANT HERMENEGILD, 30"
47,14,19,614fa4d6943058d43722dc81a0564c6c,41.439929,2.1970692,"C/REPÚBLICA DOMINICANA,25(CENTRE COMERCIAL)"
48,4,28,2aff2ad9ec4b1b84d6abd6492da2e4e6,41.393489,2.1707419,"C/ BRUC, 66"
49,13,4,13df1f7cf5da20a4df4f16024b6126f8,41.3811389,2.1729755,"LA RAMBLA, 75"
50,27,0,fdc17d98e3f99d3d35063a93c887f09d,41.3985735,2.1440826,"C/ RECTOR UBACH, 24"
51,31,12,6b3e985a3214ab5d1e0732c5a00537e8,41.4158412,2.1959771,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ"
52,12,13,762363dddf5baf047e2a56deba1b37ca,41.4175595,2.1877153,"C/ JOSEP ESTIVILL, 32"
53,29,0,8fdb03b50ec6c7d2a4fd6522f041aac6,41.4276076,2.1697582,"C/ ESCULTOR LLIMONA, 7"
54,22,2,209936f04819af74dbbbbb11324f1698,41.4389014,2.1715576,"PG. VALLDAURA, 171"
55,37,11,c55705a98f23d2296c39a68af7876656,41.3675574,2.1388216,"GRAN VIA DE LES CORTS CATALANES, 179 (D)"
56,14,4,1f6bcf57dac0a8e71974ad24678ed240,41.3982304,2.1531031,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA"
57,16,10,837b1735c1425961256c0028bc839c0e,41.4182129,2.1904005,"C/ PALÈNCIA, 31"
58,11,6,c03f3bcdbfaf01b9631236692d76a93b,41.4078456,2.1586704,"C/ DEL TORRENT DE LES FLORS, 102"
59,16,4,1a670d1e045dd4d7733d85a8d2af7d9f,41.4047056,2.1765126,"C/ LEPANT,  278"
60,17,17,ed1093b9e37a0c0afcf57114d7aa228d,41.3773113,2.1646742,"RONDA DE SANT PAU, 51"
61,11,8,be6b8196d1e1535db1e0ac8bd50d4739,41.3954041,2.1681961,"C/ BRUC, 102"
62,23,3,515587ca0fcf6ecc240ae4ca9c4b40f0,41.4345997,2.1585268,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI"
63,16,7,b38b4aff722d92c76825f9b80d63a825,41.3989151,2.1564253,"C/ GRAN DE GRÀCIA, 37"
64,11,12,53ce167862161ac3e0db641efe20d40a,41.3878061,2.1344218,"C/ NUMÀNCIA, 136"
65,18,8,b5c71ae466be2730a78d671a1ddd6ace,41.4065291,2.2091221,"C/ LLULL, 309"
66,11,6,d6b22a7060e924a9d72bf714bb7abe66,41.3790718,2.1490553,"C/ VILAMARÍ,  61"
67,17,5,3c743ecf94b93efe624e6495b8634440,41.4009,2.13892,"C/ SANTALÓ, 165"
68,15,1,086561ce0bc3e36a81eb90e26d0bc610,41.388296,2.150878,"C/ ROSSELLÓ, 108-110"
69,14,7,f64f7ec154143f871bb06d378e982e0d,41.385086,2.174016,PL. CARLES PI I SUNYER
70,26,1,9db9646e880ada6e547ad2303c1fd1cb,41.4038559,2.2084257,"C/ RAMON TURRÓ, 292"
71,15,12,7c21a5ffcb9e694f3a6cae488cfcade5,41.4116634,2.2183313,"RAMBLA DE PRIM, 19"
72,15,16,558a9588c57f132d922efd3be50d01f8,41.3631066,2.1398322,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS
73,25,2,faaa75871b7cee48bba7f3242d86bcbb,41.4246885,2.1570492,"C/ LLOBREGÓS, 115"
74,20,13,1161584f0cdec1e6c63e016824fe9db4,41.3880355,2.1256248,"AV. DIAGONAL, 672"
75,29,6,c6edb376f8c2f0e7f2b70725c36402c9,41.4304126,2.1834174,"AV. MERIDIANA, 404"
76,21,9,3dbb2b93d9b68513c2c52e9c10e64aba,41.3653426,2.1331357,"C/ JUAN GRIS, 28"
77,16,6,c9d0f804dc5a2213edae31e31cbbcbe3,41.4250835,2.1872818,"C/ ANTILLES, 8"
78,9,11,36a77ee7024d6a550a37897e26e1cc3d,41.376735,2.1740082,"PL. JEAN GENET,  1"
79,5,27,6771869a4e86404f73b349215b92369d,41.381708,2.177292,"PL. SANT MIQUEL, 4"
80,18,8,afa694b030bf59152b1649bde5a8870c,41.4098842,2.1715285,"TRAVESSERA DE GRÀCIA, 368"
81,11,9,126463a86cb5fe5421dd27fed9c2c6bc,41.3779613,2.1450491,"C/ TARRAGONA, 141"
82,9,14,b7592cd6043ae21ee3e41b2fa96d9a33,41.4013296,2.1574439,"C/ DEL CANÓ, 1"
