,poi_fsq_id,poi_name,category_id,category_name,poi_distance,poi_address,station_id
0,4e18b61d18a8166f738f1ed0,Mesón Pahi,13026,BBQ Joint,215,Calle Torroella de Montgrí 7,dedcd93fbe85671e73c79baf58bd7fed
1,4e18b61d18a8166f738f1ed0,Mesón Pahi,13338,Seafood Restaurant,215,Calle Torroella de Montgrí 7,dedcd93fbe85671e73c79baf58bd7fed
2,4e18b61d18a8166f738f1ed0,Mesón Pahi,13345,Spanish Restaurant,215,Calle Torroella de Montgrí 7,dedcd93fbe85671e73c79baf58bd7fed
3,590896ec5d891b372346f974,Cyclic Beer Farm,13029,Brewery,344,"Carrer de Coll, 37",dedcd93fbe85671e73c79baf58bd7fed
4,590896ec5d891b372346f974,Cyclic Beer Farm,13065,Restaurant,344,"Carrer de Coll, 37",dedcd93fbe85671e73c79baf58bd7fed
5,4fa80faae4b028d55be7a213,Plaça Jardins d'Elx,16041,Plaza,317,,dedcd93fbe85671e73c79baf58bd7fed
6,57dc2947498ee91be8edc91b,Mezzé,13031,Burger Joint,391,"Calle de Pinar del Río, 5",dedcd93fbe85671e73c79baf58bd7fed
7,57dc2947498ee91be8edc91b,Mezzé,13145,Fast Food Restaurant,391,"Calle de Pinar del Río, 5",dedcd93fbe85671e73c79baf58bd7fed
8,4f7d904410810a8701fd9672,TocaTeca,13347,Tapas Restaurant,407,"Garcilaso, 172",dedcd93fbe85671e73c79baf58bd7fed
9,4c7a3c90bd346dcbeff0f7ef,Plaça de Masadas,16041,Plaza,415,,dedcd93fbe85671e73c79baf58bd7fed
10,4cda7b573f6a8cfa9e8fe4ea,Mercat Felip II,17065,Farmers Market,369,"Carrer de Felip II, 118",dedcd93fbe85671e73c79baf58bd7fed
11,4cda7b573f6a8cfa9e8fe4ea,Mercat Felip II,17069,Grocery Store,369,"Carrer de Felip II, 118",dedcd93fbe85671e73c79baf58bd7fed
12,59692ee7dd70c52f2d5ef3a5,035 Bar,13003,Bar,450,"Carrer de Monlau, 35",dedcd93fbe85671e73c79baf58bd7fed
13,59692ee7dd70c52f2d5ef3a5,035 Bar,13065,Restaurant,450,"Carrer de Monlau, 35",dedcd93fbe85671e73c79baf58bd7fed
14,4daacc806e81162ae7de5c15,El Asador de Aranda,13345,Spanish Restaurant,548,"Londres, 94",dedcd93fbe85671e73c79baf58bd7fed
15,4efeffeb9a520dfd658d1b94,Panes Creativos,13002,Bakery,537,"Plaça Garrigó, 5",dedcd93fbe85671e73c79baf58bd7fed
16,4efeffeb9a520dfd658d1b94,Panes Creativos,13065,Restaurant,537,"Plaça Garrigó, 5",dedcd93fbe85671e73c79baf58bd7fed
0,4f2e99d7e4b00ef1a6450e45,Avis,13065,Restaurant,212,"Calle Liuva, 47",5c10c2dba1c5a8e8d9dcbb251fd8eab7
1,53872f62498e94fb758709d1,Casa Ametller,17070,Organic Grocery,268,"Gran de Sant Andreu, 157",5c10c2dba1c5a8e8d9dcbb251fd8eab7
2,4baf2128f964a520b6ec3be3,Estadi Narcís Sala - UE Sant Andreu,18064,Soccer Field,252,,5c10c2dba1c5a8e8d9dcbb251fd8eab7
3,52ecc295498e28504bd5fbc5,Several cafè,13034,Café,294,"Gran de Sant Andreu, 165",5c10c2dba1c5a8e8d9dcbb251fd8eab7
4,52ecc295498e28504bd5fbc5,Several cafè,13035,Coffee Shop,294,"Gran de Sant Andreu, 165",5c10c2dba1c5a8e8d9dcbb251fd8eab7
5,52ecc295498e28504bd5fbc5,Several cafè,13065,Restaurant,294,"Gran de Sant Andreu, 165",5c10c2dba1c5a8e8d9dcbb251fd8eab7
6,4daacc806e81162ae7de5c15,El Asador de Aranda,13345,Spanish Restaurant,348,"Londres, 94",5c10c2dba1c5a8e8d9dcbb251fd8eab7
7,4bd9eb043904a593bf3e449e,Societat Cultural i Esportiva la Lira,12005,Cultural Center,354,"Coroleu, 15",5c10c2dba1c5a8e8d9dcbb251fd8eab7
8,4bd9eb043904a593bf3e449e,Societat Cultural i Esportiva la Lira,13065,Restaurant,354,"Coroleu, 15",5c10c2dba1c5a8e8d9dcbb251fd8eab7
9,5376059c498ebea29f00b36b,Bar Torrente,13347,Tapas Restaurant,433,"Calle Parellada, 28",5c10c2dba1c5a8e8d9dcbb251fd8eab7
10,556c5202498e8be4c2455934,Ateneu l'Harmonia,10000,Arts and Entertainment,396,"Carrer Sant Adrià, 20",5c10c2dba1c5a8e8d9dcbb251fd8eab7
11,4bca2366511f95211023afc7,Michael's Tavern,13006,Beer Bar,482,"Concepcion Arenal, 213",5c10c2dba1c5a8e8d9dcbb251fd8eab7
12,4bca2366511f95211023afc7,Michael's Tavern,13065,Restaurant,482,"Concepcion Arenal, 213",5c10c2dba1c5a8e8d9dcbb251fd8eab7
13,590896ec5d891b372346f974,Cyclic Beer Farm,13029,Brewery,615,"Carrer de Coll, 37",5c10c2dba1c5a8e8d9dcbb251fd8eab7
14,590896ec5d891b372346f974,Cyclic Beer Farm,13065,Restaurant,615,"Carrer de Coll, 37",5c10c2dba1c5a8e8d9dcbb251fd8eab7
0,4d4c2105a22c224b24ddf693,Basar Brillant,17033,Department Store,219,"Gran de Sant Andreu, 475",f1aaf083aaa04498aad975bc45bdc089
1,4ef3a2f6f9ab42ef2e81773b,Pizzeria Il Duomo & la Mole,13064,Pizzeria,326,"Plaza Mossén Clapés, 14",f1aaf083aaa04498aad975bc45bdc089
2,4b521bb6f964a5207f6827e3,El Burro Chilango,13303,Mexican Restaurant,320,"Calle Cinca, 86",f1aaf083aaa04498aad975bc45bdc089
3,4b521bb6f964a5207f6827e3,El Burro Chilango,13338,Seafood Restaurant,320,"Calle Cinca, 86",f1aaf083aaa04498aad975bc45bdc089
4,4d440eff1b62b1f7268aeee2,Restaurante Shokudo,13263,Japanese Restaurant,459,"Calle Cinca, 66",f1aaf083aaa04498aad975bc45bdc089
5,4d440eff1b62b1f7268aeee2,Restaurante Shokudo,13338,Seafood Restaurant,459,"Calle Cinca, 66",f1aaf083aaa04498aad975bc45bdc089
6,4bb1bb6ef964a520c5a03ce3,Mercadona,17069,Grocery Store,204,"Passeig Santa Coloma, Nº 23",f1aaf083aaa04498aad975bc45bdc089
7,4d5688dfb4deb1f77ad7117a,Caprabo,17069,Grocery Store,258,"Carrer Gran de Sant Andreu, 456-462",f1aaf083aaa04498aad975bc45bdc089
8,4dd37b95c65b69f9362cafe1,Oliva Pachon Regino,13003,Bar,387,"Colombia, 8",f1aaf083aaa04498aad975bc45bdc089
9,4dd37b95c65b69f9362cafe1,Oliva Pachon Regino,13347,Tapas Restaurant,387,"Colombia, 8",f1aaf083aaa04498aad975bc45bdc089
10,596e4c059fca56559d1b58c3,Decathlon la Maquinista,17117,Sporting Goods Retail,699,"Centro Comercial la Maquinista Paseo Potosí, 2",f1aaf083aaa04498aad975bc45bdc089
11,4b8bf38bf964a52045b432e3,A Loja do Gato Preto,17082,Furniture and Home Store,620,"Potosí, 2",f1aaf083aaa04498aad975bc45bdc089
12,4b5b878cf964a520fe0429e3,La Maquinista,17114,Shopping Mall,705,"Pg. Potosí, 2",f1aaf083aaa04498aad975bc45bdc089
0,53a32784498ef1cc7d6454f4,Trópico,13065,Restaurant,53,"Carrer del Marquès de Barberà, 24",4a30020e6926a2ba39f88be0f6bba5cb
1,53a32784498ef1cc7d6454f4,Trópico,13009,Cocktail Bar,53,"Carrer del Marquès de Barberà, 24",4a30020e6926a2ba39f88be0f6bba5cb
2,4bec752616e99c74fe6408e2,Madame Jasmine,13003,Bar,93,"Rambla del Raval, 22",4a30020e6926a2ba39f88be0f6bba5cb
3,4adcda4ef964a520534021e3,Bar Marsella,13009,Cocktail Bar,85,"Sant Pau, 65",4a30020e6926a2ba39f88be0f6bba5cb
4,4adcda4ef964a520534021e3,Bar Marsella,13065,Restaurant,85,"Sant Pau, 65",4a30020e6926a2ba39f88be0f6bba5cb
5,4f40f0a5e4b0193962801903,Filmoteca de Catalunya,10024,Movie Theater,116,"Plaza Salvador Seguí, 1-9",4a30020e6926a2ba39f88be0f6bba5cb
6,53347f6611d28af55005835a,La Monroe,13003,Bar,140,"Plaça Salvador Seguí, 1",4a30020e6926a2ba39f88be0f6bba5cb
7,53347f6611d28af55005835a,La Monroe,13302,Mediterranean Restaurant,140,"Plaça Salvador Seguí, 1",4a30020e6926a2ba39f88be0f6bba5cb
8,53347f6611d28af55005835a,La Monroe,13347,Tapas Restaurant,140,"Plaça Salvador Seguí, 1",4a30020e6926a2ba39f88be0f6bba5cb
9,54033c4e498e884a9a9044dc,Pizza Circus,13064,Pizzeria,186,"Carrer Nou de la Rambla, 40",4a30020e6926a2ba39f88be0f6bba5cb
10,54033c4e498e884a9a9044dc,Pizza Circus,13236,Italian Restaurant,186,"Carrer Nou de la Rambla, 40",4a30020e6926a2ba39f88be0f6bba5cb
11,4e7a43831f6e07f918147562,El Pachuco,13003,Bar,184,"Sant Pau, 110",4a30020e6926a2ba39f88be0f6bba5cb
12,4e7a43831f6e07f918147562,El Pachuco,13303,Mexican Restaurant,184,"Sant Pau, 110",4a30020e6926a2ba39f88be0f6bba5cb
13,4dde402345dd033c3929b0e4,Rooftop Combinat 360,16045,Roof Deck,193,"Rambla de Raval, 17-21",4a30020e6926a2ba39f88be0f6bba5cb
14,4c88d9e510523704e797c3f1,Bar Cañete,13003,Bar,266,"Unió, 17",4a30020e6926a2ba39f88be0f6bba5cb
15,4c88d9e510523704e797c3f1,Bar Cañete,13347,Tapas Restaurant,266,"Unió, 17",4a30020e6926a2ba39f88be0f6bba5cb
16,4ca4c2c2750ca093b9262467,Escola Oficial d'Idiomes,12053,Language School,271,"Avenida Drassanes, 14",4a30020e6926a2ba39f88be0f6bba5cb
0,59e4a88a26659b77af147f68,Morrow Coffee,13035,Coffee Shop,234,"Avenida Gran Via de Les Corts Catalanes, 403",e964297fbcd2fc96bb6632e5a530d0df
1,59e4a88a26659b77af147f68,Morrow Coffee,13065,Restaurant,234,"Avenida Gran Via de Les Corts Catalanes, 403",e964297fbcd2fc96bb6632e5a530d0df
2,538b748c498e1afc1640a729,El Tabernito,13009,Cocktail Bar,254,"Entença, 22",e964297fbcd2fc96bb6632e5a530d0df
3,538b748c498e1afc1640a729,El Tabernito,13065,Restaurant,254,"Entença, 22",e964297fbcd2fc96bb6632e5a530d0df
4,4b7c12aff964a520517b2fe3,Plaça d'Espanya (Plaça d’Espanya),16041,Plaza,266,,e964297fbcd2fc96bb6632e5a530d0df
5,506deb6ee4b0c21f07a12237,Roof at las Arenas,16046,Scenic Lookout,265,,e964297fbcd2fc96bb6632e5a530d0df
6,56811f43498ea93424d4e027,SandwiChez,13334,Sandwich Spot,219,"Gran Vía de Les Corts Catalanes, 403",e964297fbcd2fc96bb6632e5a530d0df
7,5a18835de96d0c5d8b0e31db,Cruix,13065,Restaurant,319,"Carrer D'Entença, 57",e964297fbcd2fc96bb6632e5a530d0df
8,588cdfff8190791bb115b187,Enigma Concept,13065,Restaurant,255,"Calle Sepúlveda, 38",e964297fbcd2fc96bb6632e5a530d0df
9,540aec16498e9f07ab92153a,Tartela,13034,Café,313,"Calle Llançà, 32",e964297fbcd2fc96bb6632e5a530d0df
10,540aec16498e9f07ab92153a,Tartela,13065,Restaurant,313,"Calle Llançà, 32",e964297fbcd2fc96bb6632e5a530d0df
11,53f0ab62498eddd221139217,TAPS Bar,13065,Restaurant,372,"Mare de Déu del Remei, 53",e964297fbcd2fc96bb6632e5a530d0df
12,539c2640498e2eba58126fb7,Buenas Migas,13034,Café,316,"Plaça Espanya, 6-8",e964297fbcd2fc96bb6632e5a530d0df
13,539c2640498e2eba58126fb7,Buenas Migas,13236,Italian Restaurant,316,"Plaça Espanya, 6-8",e964297fbcd2fc96bb6632e5a530d0df
0,554227ac498ecd5cf6c720de,L'Actiu Restaurant,13302,Mediterranean Restaurant,386,"Calle Llacuna, 162",77e6513f3a43c3054c71144be4132e59
1,4b641c1cf964a520869f2ae3,Parc del Clot,16032,Park,437,"Carrer Dels Escultores Claperos, s/n",77e6513f3a43c3054c71144be4132e59
2,4b9a11a8f964a520739d35e3,Casa Aliaga,13302,Mediterranean Restaurant,418,"Llacuna, 154",77e6513f3a43c3054c71144be4132e59
3,4b9a11a8f964a520739d35e3,Casa Aliaga,13338,Seafood Restaurant,418,"Llacuna, 154",77e6513f3a43c3054c71144be4132e59
